SERIALNO,ST,PUMA,WGTP,Sm_Lo,Sm_Md,Sm_Hi,Lg_Lo,Lg_Md,Lg_Hi,Mil_Sm,Mil_Lg,ColDorm,Pers,IncK,Weight,hh
2014000010262,6,7301,13,0,0,0,0,1,0,0,0,0,3,46,13,1
2014000010326,6,7315,13,0,1,0,0,0,0,0,0,0,2,54,13,1
2014000010533,6,7312,11,0,0,0,0,0,1,0,0,0,4,249,11,1
2014000010540,6,7302,3,0,1,0,0,0,0,0,0,0,1,27,3,1
2014000010598,6,7316,24,0,0,0,0,1,0,0,0,0,3,71,24,1
2014000010675,6,7318,31,1,0,0,0,0,0,0,0,0,1,16,31,1
2014000010705,6,7302,14,0,0,0,0,1,0,0,0,0,3,43,14,1
2014000010710,6,7317,11,0,0,0,0,1,0,0,0,0,4,146,11,1
2014000011037,6,7316,25,0,0,0,0,0,1,0,0,0,4,955,25,1
2014000011143,6,7314,27,0,0,0,0,1,0,0,0,0,3,88,27,1
2014000011265,6,7321,13,0,1,0,0,0,0,0,0,0,2,62,13,1
2014000011523,6,7310,8,0,0,1,0,0,0,0,0,0,2,223,8,1
2014000011586,6,7313,66,0,0,0,0,1,0,0,0,0,3,91,66,1
2014000011889,6,7321,14,0,0,0,0,1,0,0,0,0,5,36,14,1
2014000011936,6,7308,24,0,0,0,0,0,1,0,0,0,6,187,24,1
2014000012189,6,7313,13,0,0,0,0,0,1,0,0,0,3,156,13,1
2014000012217,6,7309,32,0,0,0,0,1,0,0,0,0,3,58,32,1
2014000012818,6,7313,20,0,0,1,0,0,0,0,0,0,2,182,20,1
2014000012914,6,7318,9,0,0,0,0,1,0,0,0,0,3,71,9,1
2014000012957,6,7310,20,0,1,0,0,0,0,0,0,0,1,110,20,1
2014000013024,6,7319,13,1,0,0,0,0,0,0,0,0,1,14,13,1
2014000013110,6,7313,37,0,1,0,0,0,0,0,0,0,2,46,37,1
2014000013238,6,7313,37,0,1,0,0,0,0,0,0,0,1,80,37,1
2014000013332,6,7318,8,0,0,0,1,0,0,0,0,0,4,19,8,1
2014000013335,6,7314,26,0,1,0,0,0,0,0,0,0,1,66,26,1
2014000013513,6,7312,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000013560,6,7304,22,0,1,0,0,0,0,0,0,0,2,29,22,1
2014000013719,6,7316,31,0,0,0,1,0,0,0,0,0,3,16,31,1
2014000013962,6,7306,61,0,1,0,0,0,0,0,0,0,2,26,61,1
2014000014015,6,7312,13,0,1,0,0,0,0,0,0,0,2,72,13,1
2014000014031,6,7304,13,0,0,0,0,0,1,0,0,0,6,214,13,1
2014000014057,6,7304,12,1,0,0,0,0,0,0,0,0,1,19,12,1
2014000014239,6,7308,26,0,1,0,0,0,0,0,0,0,1,61,26,1
2014000014593,6,7322,15,0,0,0,0,1,0,0,0,0,5,129,15,1
2014000014781,6,7304,46,1,0,0,0,0,0,0,0,0,2,0,46,1
2014000015080,6,7315,22,0,0,0,0,0,0,1,0,0,1,43,22,1
2014000015249,6,7304,7,0,0,1,0,0,0,0,0,0,2,184,7,1
2014000015283,6,7301,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000015375,6,7307,13,0,0,0,0,1,0,0,0,0,3,149,13,1
2014000015751,6,7310,57,1,0,0,0,0,0,0,0,0,1,13,57,1
2014000015755,6,7308,46,0,0,0,0,1,0,0,0,0,3,69,46,1
2014000016067,6,7315,0,0,0,0,0,0,0,0,0,1,1,0,20,1
2014000016409,6,7305,40,0,0,0,1,0,0,0,0,0,3,0,40,1
2014000016588,6,7310,13,1,0,0,0,0,0,0,0,0,1,7,13,1
2014000016641,6,7302,3,0,1,0,0,0,0,0,0,0,1,85,3,1
2014000016663,6,7301,11,0,0,1,0,0,0,0,0,0,2,151,11,1
2014000016711,6,7313,20,0,1,0,0,0,0,0,0,0,1,49,20,1
2014000016797,6,7321,13,0,1,0,0,0,0,0,0,0,1,86,13,1
2014000016816,6,7315,23,1,0,0,0,0,0,0,0,0,2,23,23,1
2014000016859,6,7308,24,1,0,0,0,0,0,0,0,0,1,13,24,1
2014000016880,6,7304,16,1,0,0,0,0,0,0,0,0,1,0,16,1
2014000017102,6,7318,19,0,0,0,0,1,0,0,0,0,6,133,19,1
2014000017315,6,7314,13,0,0,0,0,1,0,0,0,0,3,49,13,1
2014000017322,6,7301,25,0,0,1,0,0,0,0,0,0,2,379,25,1
2014000017449,6,7322,33,0,0,0,0,1,0,0,0,0,4,67,33,1
2014000017518,6,7314,29,0,0,0,0,1,0,0,0,0,4,91,29,1
2014000017681,6,7319,12,0,1,0,0,0,0,0,0,0,2,133,12,1
2014000017701,6,7318,12,0,0,0,0,1,0,0,0,0,4,73,12,1
2014000017887,6,7301,13,0,1,0,0,0,0,0,0,0,1,26,13,1
2014000018173,6,7306,12,0,0,0,0,1,0,0,0,0,6,85,12,1
2014000018179,6,7301,14,0,0,1,0,0,0,0,0,0,2,280,14,1
2014000018283,6,7308,42,0,0,0,0,0,1,0,0,0,3,247,42,1
2014000018881,6,7309,13,0,0,1,0,0,0,0,0,0,2,218,13,1
2014000018883,6,7320,11,0,0,0,0,1,0,0,0,0,3,126,11,1
2014000018930,6,7320,9,1,0,0,0,0,0,0,0,0,2,19,9,1
2014000019011,6,7311,7,0,0,1,0,0,0,0,0,0,2,266,7,1
2014000019087,6,7322,37,0,1,0,0,0,0,0,0,0,1,30,37,1
2014000019347,6,7313,51,0,0,0,0,1,0,0,0,0,7,51,51,1
2014000019810,6,7317,12,0,0,0,0,0,1,0,0,0,3,229,12,1
2014000020025,6,7316,13,0,1,0,0,0,0,0,0,0,1,139,13,1
2014000020292,6,7321,7,0,0,0,0,1,0,0,0,0,4,75,7,1
2014000020455,6,7318,14,0,0,0,0,1,0,0,0,0,4,52,14,1
2014000020464,6,7310,13,0,0,0,0,1,0,0,0,0,4,131,13,1
2014000020557,6,7306,12,0,1,0,0,0,0,0,0,0,2,64,12,1
2014000020565,6,7315,14,0,0,0,0,1,0,0,0,0,5,64,14,1
2014000020739,6,7307,12,1,0,0,0,0,0,0,0,0,2,15,12,1
2014000020986,6,7314,38,0,1,0,0,0,0,0,0,0,2,32,38,1
2014000021153,6,7309,70,0,0,0,0,0,1,0,0,0,3,174,70,1
2014000021658,6,7304,13,1,0,0,0,0,0,0,0,0,1,25,13,1
2014000021676,6,7322,6,1,0,0,0,0,0,0,0,0,1,13,6,1
2014000022048,6,7306,21,0,1,0,0,0,0,0,0,0,2,66,21,1
2014000022079,6,7315,14,0,0,0,0,0,0,1,0,0,2,124,14,1
2014000022181,6,7310,22,1,0,0,0,0,0,0,0,0,1,11,22,1
2014000022475,6,7317,81,0,0,0,0,1,0,0,0,0,4,69,81,1
2014000022621,6,7301,19,0,1,0,0,0,0,0,0,0,2,61,19,1
2014000022662,6,7309,20,0,0,0,0,0,1,0,0,0,3,161,20,1
2014000022680,6,7319,16,1,0,0,0,0,0,0,0,0,2,12,16,1
2014000023113,6,7312,14,0,1,0,0,0,0,0,0,0,2,42,14,1
2014000023145,6,7322,22,0,0,0,1,0,0,0,0,0,6,24,22,1
2014000023224,6,7310,9,0,0,1,0,0,0,0,0,0,2,372,9,1
2014000023316,6,7318,13,0,1,0,0,0,0,0,0,0,2,30,13,1
2014000023427,6,7312,8,0,0,0,0,1,0,0,0,0,3,105,8,1
2014000024085,6,7316,54,0,1,0,0,0,0,0,0,0,2,54,54,1
2014000024230,6,7307,23,0,1,0,0,0,0,0,0,0,2,54,23,1
2014000024242,6,7316,18,1,0,0,0,0,0,0,0,0,1,10,18,1
2014000024350,6,7309,15,0,0,1,0,0,0,0,0,0,2,157,15,1
2014000024408,6,7316,23,0,0,0,0,0,1,0,0,0,3,166,23,1
2014000024491,6,7319,23,0,1,0,0,0,0,0,0,0,2,63,23,1
2014000024891,6,7309,11,0,0,0,0,1,0,0,0,0,3,110,11,1
2014000025132,6,7316,11,0,0,1,0,0,0,0,0,0,1,167,11,1
2014000025181,6,7306,11,0,1,0,0,0,0,0,0,0,2,39,11,1
2014000025210,6,7316,23,0,1,0,0,0,0,0,0,0,1,60,23,1
2014000025358,6,7314,16,0,0,1,0,0,0,0,0,0,2,378,16,1
2014000025553,6,7304,13,0,1,0,0,0,0,0,0,0,1,87,13,1
2014000026113,6,7304,65,0,0,0,0,1,0,0,0,0,3,40,65,1
2014000026179,6,7312,25,0,1,0,0,0,0,0,0,0,2,34,25,1
2014000026501,6,7310,14,0,1,0,0,0,0,0,0,0,1,89,14,1
2014000026578,6,7301,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000026617,6,7307,13,0,0,1,0,0,0,0,0,0,2,329,13,1
2014000026633,6,7316,13,0,0,1,0,0,0,0,0,0,2,177,13,1
2014000026702,6,7313,16,0,0,0,1,0,0,0,0,0,3,7,16,1
2014000026758,6,7314,65,1,0,0,0,0,0,0,0,0,1,0,65,1
2014000026939,6,7311,26,0,0,0,0,0,1,0,0,0,4,203,26,1
2014000027097,6,7320,9,0,0,0,0,1,0,0,0,0,6,135,9,1
2014000027381,6,7321,32,1,0,0,0,0,0,0,0,0,1,19,32,1
2014000027410,6,7304,23,0,0,0,0,1,0,0,0,0,5,133,23,1
2014000027457,6,7311,15,0,0,0,0,1,0,0,0,0,6,141,15,1
2014000027466,6,7321,13,0,0,0,0,1,0,0,0,0,6,54,13,1
2014000027602,6,7310,13,0,1,0,0,0,0,0,0,0,2,82,13,1
2014000027607,6,7306,11,0,1,0,0,0,0,0,0,0,1,27,11,1
2014000027705,6,7321,7,0,1,0,0,0,0,0,0,0,2,29,7,1
2014000028098,6,7316,21,0,1,0,0,0,0,0,0,0,1,40,21,1
2014000028109,6,7322,12,0,0,0,0,1,0,0,0,0,6,110,12,1
2014000028390,6,7303,8,0,1,0,0,0,0,0,0,0,2,120,8,1
2014000028396,6,7313,18,0,0,0,0,1,0,0,0,0,3,54,18,1
2014000028565,6,7314,32,0,0,0,0,1,0,0,0,0,3,60,32,1
2014000028642,6,7302,24,0,1,0,0,0,0,0,0,0,1,105,24,1
2014000028691,6,7318,47,0,0,0,0,0,0,0,1,0,6,74,47,1
2014000028814,6,7304,19,0,1,0,0,0,0,0,0,0,2,135,19,1
2014000028963,6,7310,9,1,0,0,0,0,0,0,0,0,2,2,9,1
2014000029044,6,7314,11,0,1,0,0,0,0,0,0,0,2,134,11,1
2014000029145,6,7316,11,1,0,0,0,0,0,0,0,0,1,15,11,1
2014000029179,6,7312,14,0,1,0,0,0,0,0,0,0,1,80,14,1
2014000029183,6,7314,13,0,1,0,0,0,0,0,0,0,2,96,13,1
2014000029365,6,7307,21,0,1,0,0,0,0,0,0,0,2,57,21,1
2014000029590,6,7319,12,0,1,0,0,0,0,0,0,0,2,66,12,1
2014000029679,6,7319,36,0,1,0,0,0,0,0,0,0,2,77,36,1
