TAZ,UnitCount,hh,Sm_Lo,Lg_Lo,Sm_Md,Lg_Md,Sm_Hi,Lg_Hi,Mil_Sm,Mil_Lg,ColDorm,TAZorLUZ
0,0,2,1,1,1,1,1,1,1,1,1,0.0
1,50.063911438,50.063911438,5.066562153E-5,6.040513654E-6,0.815860152,9.734834671,11.349168777,26.257740021,0.304625869,1.601625323,0,TAZ
2,74.193778992,74.193778992,5.066562153E-5,6.040513654E-6,1.205350161,14.410565376,16.824983597,38.940601349,0.448902279,2.363315105,0,TAZ
3,100.929878235,100.929878235,0.019914059,0.013729016,1.698015332,19.627044678,22.855144501,52.840946198,0.625738323,3.249344826,0,TAZ
4,33.278324127,33.278324127,0.019913984,0.013729014,0.605627477,6.5196805,7.502013683,17.287425995,0.219888911,1.110043287,0,TAZ
5,30.183914185,30.183914185,0.019914767,0.013729083,0.557357788,5.916698456,6.800659657,15.650389671,0.203133881,1.02203083,0,TAZ
6,86.357978821,86.357978821,0.019914264,0.01372902,1.477748036,16.860628128,19.529062271,45.066303253,0.551954865,2.838639975,0,TAZ
7,35.001014709,35.001014709,0.006313331,0.004343282,0.588839531,6.816765785,7.922640324,18.31744194,0.216684714,1.127987146,0,TAZ
8,39.009174347,39.009174347,0.006313331,0.004343282,0.679101646,7.707749367,8.792135239,20.234886169,0.2584351,1.326209784,0,TAZ
9,37.964817047,37.964817047,0.006313393,0.004343283,0.661772251,7.500353813,8.557144165,19.687971115,0.252759159,1.294159412,0,TAZ
10,21.751020432,21.751020432,0.006313425,0.004343284,0.375466436,4.247094154,4.916934967,11.347177505,0.139165327,0.71452558,0,TAZ
11,34.005878448,34.005878448,0.006313331,0.004343282,0.59669441,6.730878353,7.659314156,17.617303848,0.227373809,1.163655162,0,TAZ
12,23.514389038,23.514389038,0.006313419,0.004343284,0.403895408,4.588937283,5.317020416,12.27442646,0.149592057,0.769860387,0,TAZ
13,22.748495102,22.748495102,0.006313429,0.004343284,0.391586155,4.440295696,5.143336296,11.871232033,0.145194322,0.74619472,0,TAZ
14,36.262882233,36.262882233,0.006313429,0.004343284,0.609724939,7.059038162,8.21016407,18.974538803,0.225990564,1.172769666,0,TAZ
15,18.468828201,18.468828201,0.006313331,0.004343282,0.321986705,3.613264561,4.170974255,9.627983093,0.117836058,0.60612756,0,TAZ
16,71.975692749,71.975692749,0.005491723,0.003787983,1.981701136,15.434167862,15.715251923,36.108837128,0.475722849,2.250733852,0,TAZ
17,29.420526505,29.420526505,0.005491723,0.003787983,1.294800639,7.188099861,6.05816412,13.741477966,0.221278533,0.907425642,0,TAZ
18,47.71585083,47.71585083,1.395214677,0.966886044,8.472995758,16.516241074,6.009354115,12.214556694,0.862379074,1.278223872,0,TAZ
19,40.929767609,40.929767609,1.688854099E-4,2.013504673E-5,4.962536812,15.876829147,6.023251057,12.406417847,0.479546189,1.180998325,0,TAZ
20,97.880455017,97.880455017,1.689725759E-4,2.013689118E-5,21.093112946,54.774852753,7.47474575,10.607498169,1.594277263,2.335780621,0,TAZ
21,41.215827942,41.215827942,5.066562153E-5,6.040513654E-6,0.673039615,8.020310402,9.341263771,21.607112885,0.25172171,1.322324276,0,TAZ
