TAZ,UnitCount,hh,Sm_Lo,Lg_Lo,Sm_Md,Lg_Md,Sm_Hi,Lg_Hi,Mil_Sm,Mil_Lg,ColDorm,TAZorLUZ
22,19.014060974,19.014060974,5.066562153E-5,6.040513654E-6,0.314671785,3.718194008,4.302994251,9.937674522,0.118973725,0.621497214,0,TAZ
23,76.569335938,76.569335938,5.066562153E-5,6.040513654E-6,1.243695021,14.870885849,17.364070892,40.189216614,0.463106126,2.438302755,0,TAZ
24,26.577375412,26.577375412,5.066562153E-5,6.040513654E-6,0.436754316,5.183764458,6.019344807,13.913016319,0.164196014,0.860242844,0,TAZ
25,41.147388458,41.147388458,5.066562153E-5,6.040513654E-6,0.70241189,8.143321037,9.277951241,21.345493317,0.27251479,1.405640841,0,TAZ
26,45.160152435,45.160152435,5.066562153E-5,6.040513654E-6,0.763451278,8.9041996,10.194422722,23.482269287,0.293911278,1.521841049,0,TAZ
27,90.663398743,90.663398743,3.618973278E-5,4.31465287E-6,1.468976617,17.592294693,20.565849304,47.613258362,0.545866728,2.877115965,0,TAZ
28,20.60140419,20.60140419,5.073082502E-5,6.041893357E-6,0.340638936,4.024281025,4.663990974,10.767889023,0.129640311,0.6749084,0,TAZ
29,36.277751923,36.277751923,5.066562153E-5,6.040513654E-6,0.593332112,7.063441277,8.220661163,19.011617661,0.222196147,1.166447639,0,TAZ
30,26.407024384,26.407024384,3.618973278E-5,4.31465287E-6,0.431788057,5.141106129,5.984082699,13.839557648,0.161667302,0.848781466,0,TAZ
31,22.546272278,22.546272278,3.618973278E-5,4.31465287E-6,0.36947006,4.392993927,5.107958317,11.810313225,0.138583228,0.726911843,0,TAZ
32,18.728590012,18.728590012,3.618973278E-5,4.31465287E-6,0.307847291,3.653228045,4.241607666,9.803707123,0.115756683,0.606401861,0,TAZ
33,23.54047966,23.54047966,3.618973278E-5,4.31465287E-6,0.385517985,4.585645676,5.333575249,12.332878113,0.144527763,0.758295357,0,TAZ
34,33.748680115,33.748680115,3.618973278E-5,4.31465287E-6,0.55029273,6.563724995,7.650132179,17.698394775,0.20556426,1.080530167,0,TAZ
35,27.464990616,27.464990616,3.621423821E-5,4.315171282E-6,0.448994845,5.34554863,6.224461079,14.394090652,0.168434888,0.883419514,0,TAZ
36,21.745630264,21.745630264,3.618973278E-5,4.31465287E-6,0.356546551,4.237850666,4.926267624,11.389489174,0.133796066,0.701638579,0,TAZ
37,9.259250641,9.259250641,3.642222509E-5,4.333307061E-6,0.155587375,1.816788554,2.093285799,4.821989059,0.060105983,0.311453074,0,TAZ
38,20.212495804,20.212495804,3.618973278E-5,4.31465287E-6,0.331799626,3.940770149,4.578352451,10.583661079,0.124629207,0.653243303,0,TAZ
39,32.141426086,32.141426086,3.618973278E-5,4.31465287E-6,0.524349391,6.252281666,7.285396576,16.853607178,0.195954219,1.02979517,0,TAZ
40,16.585191727,16.585191727,3.618973278E-5,4.31465287E-6,0.273249805,3.237894058,3.755204201,8.677118301,0.102940954,0.538742781,0,TAZ
41,21.890079498,21.890079498,3.618973278E-5,4.31465287E-6,0.358878195,4.265841484,4.959048271,11.465413094,0.134659752,0.706198335,0,TAZ
42,47.615856171,47.615856171,3.618973278E-5,4.31465287E-6,0.774128556,9.250818253,10.797024727,24.987102509,0.288478404,1.518265247,0,TAZ
43,75.910942078,75.910942078,7.237946556E-5,8.629305739E-6,1.236392617,14.757781029,17.209568024,39.819042206,0.461434752,2.426645994,0,TAZ
44,37.486721039,37.486721039,7.237946556E-5,8.629305739E-6,0.64979893,7.462539673,8.437198639,19.373968124,0.255084068,1.308049321,0,TAZ
45,14.152287483,14.152287483,0.005491723,0.003787983,1.048349738,4.229517937,2.593327045,5.716361046,0.129987225,0.425464243,0,TAZ
46,40.19720459,40.19720459,7.237946556E-5,8.629305739E-6,0.683922231,7.944711685,9.067385674,20.869903564,0.264592618,1.366606832,0,TAZ
47,37.666080475,37.666080475,0.005491797,0.003787984,1.428287268,8.784170151,7.930220127,18.070753098,0.271913886,1.171456575,0,TAZ
48,20.137224197,20.137224197,0.005491723,0.003787983,1.144955158,5.389241219,3.951494932,8.862094879,0.165772155,0.614386439,0,TAZ
49,26.087135315,26.087135315,0.005491723,0.003787983,1.26456058,6.647545338,5.2647686,11.814944267,0.217741728,0.86829567,0,TAZ
50,66.913246155,66.913246155,7.237946556E-5,8.629305739E-6,1.091157079,13.01426506,15.167711258,35.089775085,0.407636017,2.142621994,0,TAZ
51,18.119966507,18.119966507,0.005491723,0.003787983,1.112393737,4.998349667,3.49371624,7.80180645,0.153710619,0.550709069,0,TAZ
52,13.499656677,13.499656677,0.005491723,0.003787983,1.037815452,4.103055477,2.445225,5.373332977,0.126085043,0.404863149,0,TAZ
53,18.428588867,18.428588867,0.005491723,0.003787983,1.15001142,5.204078674,3.512585878,7.722389221,0.178260267,0.651983619,0,TAZ
54,20.223358154,20.223358154,0.005491723,0.003787983,1.146345377,5.405931473,3.971041441,8.907367706,0.166287154,0.617105365,0,TAZ
55,7.041060925,7.041060925,0.005491899,0.003787997,0.934009612,2.850392103,0.979996204,1.975197196,0.08820004,0.203986019,0,TAZ
56,14.773513794,14.773513794,0.005491723,0.003787983,1.058377266,4.349895477,2.734302759,6.042883396,0.133701637,0.445074052,0,TAZ
57,12.257266045,12.257266045,0.005491723,0.003787983,1.017761469,3.862313032,2.163287878,4.720321655,0.118656583,0.365645498,0,TAZ
58,28.019844055,28.019844055,7.237946556E-5,8.629305739E-6,0.498161942,5.633348465,6.287033558,14.389422417,0.199295208,1.012501597,0,TAZ
59,43.857460022,43.857460022,7.237946556E-5,8.629305739E-6,0.719004095,8.546661377,9.935638428,22.971456528,0.269781709,1.414836764,0,TAZ
60,24.927070618,24.927070618,7.240723062E-5,8.629893273E-6,0.413587958,4.877813816,5.640077591,13.019733429,0.157094494,0.818682432,0,TAZ
61,20.5266819,20.5266819,0.005491723,0.003787983,1.151241541,5.464707375,4.039875031,9.066797256,0.168100774,0.626680136,0,TAZ
62,34.802429199,34.802429199,0.005491723,0.003787983,1.381672144,8.230970383,7.279484272,16.570251465,0.253457785,1.077312231,0,TAZ
63,32.268753052,32.268753052,0.718796134,0.498158604,3.080088854,7.392944813,5.910859108,13.312150955,0.414602101,0.941151619,0,TAZ
64,106.33681488,106.33681488,0.021461368,0.01482575,1.807340741,20.76367569,24.048332214,55.546966553,0.6688416,3.465372562,0,TAZ
65,55.269966125,55.269966125,0.021461558,0.014825754,0.958539963,10.749885559,12.5019207,28.882780075,0.349156886,1.791393518,0,TAZ
66,40.297649384,40.297649384,0.021461384,0.01482575,0.715949059,7.852624893,9.102169037,21.024106979,0.256513506,1.309998751,0,TAZ
67,61.564865112,61.564865112,0.75610429,0.523937106,7.392659187,20.645824432,9.46549511,19.333766937,0.965215027,2.481863976,0,TAZ
68,37.62008667,37.62008667,0.021461483,0.014825753,0.67325443,7.331504822,8.495732307,19.61051178,0.242291912,1.230504155,0,TAZ
69,32.90669632,32.90669632,0.02146264,0.014825836,0.608405292,6.443219662,7.418059349,17.045427322,0.226555705,1.128741503,0,TAZ
70,28.695676804,28.695676804,0.021461384,0.01482575,0.528676867,5.604468346,6.469321728,14.926012039,0.187143415,0.943767667,0,TAZ
71,26.988752365,26.988752365,0.822875082,0.570281565,3.734413862,7.205038548,4.233754158,9.209370613,0.441479057,0.771539271,0,TAZ
72,14.651717186,14.651717186,5.114926898E-5,6.071042208E-6,1.528672576,5.217349052,2.347943068,4.953531265,0.162007675,0.442156464,0,TAZ
73,39.590229034,39.590229034,5.072315616E-5,6.041731467E-6,1.929908395,10.053935051,8.005443573,18.073352814,0.308199912,1.219331384,0,TAZ
74,33.995849609,33.995849609,1.021247517E-4,1.209782022E-5,3.13406539,11.336695671,5.765206337,12.354562759,0.35846591,1.046738744,0,TAZ
75,69.071815491,69.071815491,0.489664704,0.339340121,17.046590805,40.167358398,4.00566721,4.199952126,1.28717351,1.536073208,0,TAZ
76,37.945545197,37.945545197,5.727407188E-5,6.778397164E-6,8.444338799,21.706308365,2.703389645,3.54254508,0.636838257,0.912063241,0,TAZ
77,25.382974625,25.382974625,1.928684354,1.336682916,6.546737194,6.627353191,2.526690006,5.093667984,0.707783341,0.615375459,0,TAZ
78,18.881818771,18.881818771,0.673848391,0.466994077,3.245191336,5.696325779,2.562613487,5.318513393,0.361639231,0.556692958,0,TAZ
79,12.696028709,12.696028709,5.22947812E-5,6.145869065E-6,1.500803828,4.826101303,1.909672499,3.890623093,0.159093767,0.409675956,0,TAZ
80,11.26244545,11.26244545,5.191762102E-5,6.137568562E-6,1.475681901,4.556889057,1.57989192,3.160638809,0.143796802,0.345488936,0,TAZ
81,23.735616684,23.735616684,1.018526964E-4,1.210284336E-5,2.966506243,9.357776642,3.431851864,6.986750603,0.289682597,0.702933967,0,TAZ
82,22.42556572,22.42556572,1.013735964E-4,1.208192407E-5,2.943327904,9.111941338,3.130573034,6.320430756,0.275741994,0.643437028,0,TAZ
83,41.513252258,41.513252258,5.659156159E-5,6.722727449E-6,9.40337944,24.056322098,2.830271482,3.54666853,0.701417208,0.975130022,0,TAZ
84,16.371635437,16.371635437,0.710238636,0.492215991,3.290297747,5.197866917,1.951324224,3.919082403,0.352982998,0.457626343,0,TAZ
85,121.94519043,121.94519043,5.629513544E-5,6.711681635E-6,30.928890228,76.70375824,5.821747303,3.644250154,2.205627918,2.640854836,0,TAZ
86,27.845350266,27.845350266,0.582591474,0.403718829,4.45216465,9.876067162,3.71337676,7.588101864,0.453805029,0.775524616,0,TAZ
87,13.939621925,13.939621925,5.233681441E-5,6.154879429E-6,1.520720005,5.068364143,2.191075802,4.547585011,0.165381059,0.446437687,0,TAZ
88,14.260103226,14.260103226,0.351912171,0.243867844,2.521909952,5.241418362,1.755818009,3.511684179,0.249860585,0.383631736,0,TAZ
89,14.871336937,14.871336937,5.211227108E-5,6.145775842E-6,1.534773827,5.252858162,2.400528669,5.048246861,0.167924955,0.466945976,0,TAZ
90,17.665092468,17.665092468,0.959184289,0.664752781,3.919371843,5.32379961,1.96938169,3.916295528,0.42470789,0.487598121,0,TAZ
91,60.378242493,60.378242493,7.401292324,5.129563332,21.598985672,12.882135391,3.499407291,6.327586174,2.318460941,1.220812321,0,TAZ
92,14.260103226,14.260103226,0.351912171,0.243867844,2.521909952,5.241418362,1.755818009,3.511684179,0.249860585,0.383631736,0,TAZ
93,64.670272827,64.670272827,2.824054718,1.957238317,18.848789215,31.190513611,3.286296368,3.559877634,1.639650583,1.363850832,0,TAZ
94,66.887870789,66.887870789,0.532218039,0.368832588,16.809577942,39.163921356,3.693100452,3.574619532,1.269037247,1.476567388,0,TAZ
95,37.438461304,37.438461304,0.014017203,0.009618003,4.93994236,15.193599701,5.215540409,10.534045219,0.462068617,1.06962955,0,TAZ
96,62.505687714,62.505687714,1.688854099E-4,2.013504673E-5,8.761063576,26.450466156,8.294701576,16.404542923,0.801479757,1.793244243,0,TAZ
97,105.148208618,105.148208618,2.553477243E-4,3.034373367E-5,18.155370712,50.591842651,11.429844856,20.695318222,1.50215435,2.7733922,0,TAZ
98,75.831413269,75.831413269,0.009210398,0.006237825,7.700746536,26.59935379,12.305737495,26.148868561,0.814910054,2.24634552,0,TAZ
99,92.313156128,92.313156128,1.689045457E-4,2.013545054E-5,5.792038441,25.833133698,17.683963776,39.412757874,0.7871207,2.803949833,0,TAZ
100,97.418304443,97.418304443,1.700466964E-4,2.020655302E-5,20.279706955,53.201286316,7.982475281,11.998726845,1.561299324,2.394620895,0,TAZ
101,78.128456116,78.128456116,6.974136829,4.833474159,22.680149078,19.875328064,6.629591942,12.861834526,2.439909697,1.834030151,0,TAZ
102,36.811561584,36.811561584,5.066562153E-5,6.040513654E-6,1.884752154,9.516824722,7.374190331,16.616485596,0.290548474,1.128703237,0,TAZ
103,25.116168976,25.116168976,0.84083724,0.582701504,5.038350105,9.218234062,2.808670759,5.447397232,0.504163444,0.675813973,0,TAZ
104,50.159301758,50.159301758,5.066562153E-5,6.040513654E-6,2.15901494,12.366228104,10.311002731,23.196741104,0.411270738,1.714986205,0,TAZ
105,61.718151093,61.718151093,3.062217236,2.122275352,16.008647919,24.304849625,4.907945156,8.308008194,1.533429265,1.470779657,0,TAZ
106,27.563785553,27.563785553,1.237926006,0.857912183,6.074687958,9.629130363,2.876358509,5.452445507,0.635638297,0.799686611,0,TAZ
107,34.66500473,34.66500473,5.087836325E-5,6.045016107E-6,1.851230025,9.095990181,6.889612675,15.474839211,0.281549603,1.071727037,0,TAZ
108,33.125431061,33.125431061,1.292916894,0.896024287,6.273737907,10.534638405,4.131175995,8.393184662,0.675872743,0.927882075,0,TAZ
109,27.751838684,27.751838684,1.350743413,0.936102629,6.324748993,9.477933884,2.841125965,5.447896004,0.648406148,0.724882364,0,TAZ
110,30.179477692,30.179477692,5.121317736E-5,6.077811122E-6,1.779397488,8.22625351,5.871564388,13.115009308,0.254731625,0.932465017,0,TAZ
111,52.245170593,52.245170593,0.30179739,0.209094122,4.806676388,15.930916786,9.074288368,19.801023483,0.567091823,1.5542804,0,TAZ
112,44.272823334,44.272823334,2.95477128,2.047793627,11.145421982,13.101371765,4.31025219,8.462947845,1.170451045,1.079815269,0,TAZ
113,29.589853287,29.589853287,0.301797181,0.209094107,4.440217972,11.5436306,3.931823254,7.900856018,0.429644078,0.832789302,0,TAZ
114,53.080993652,53.080993652,1.110757947,0.769761264,6.792732716,15.698626518,8.364352226,18.054084778,0.772672534,1.518009067,0,TAZ
115,51.407791138,51.407791138,0.756039202,0.52393049,5.255886078,14.353722572,8.869775772,19.494682312,0.640882552,1.512871504,0,TAZ
116,105.758071899,105.758071899,4.665303707,3.233328819,25.023193359,40.138660431,9.789038658,18.006504059,2.400201797,2.50183773,0,TAZ
117,64.00327301,64.00327301,0.808932006,0.560588896,14.306872368,32.803203583,5.073720932,7.653033733,1.188955545,1.60796535,0,TAZ
118,57.745178223,57.745178223,1.284344077,0.890083015,13.258519173,27.430511475,4.735461235,7.597869873,1.14801383,1.400373816,0,TAZ
119,33.696090698,33.696090698,0.888884783,0.616002142,6.800513744,13.704540253,3.536873817,6.554030895,0.655544639,0.939699054,0,TAZ
120,32.414520264,32.414520264,0.744069934,0.515661001,7.826805592,15.995542526,2.381301403,3.531674147,0.662610173,0.756854892,0,TAZ
121,33.705554962,33.705554962,1.836999893,1.273139119,9.42897892,13.734173775,2.273005486,3.527487516,0.882485986,0.74928385,0,TAZ
122,16.481878281,16.481878281,0.782555163,0.542333901,3.60834384,5.460927963,1.781469107,3.512171507,0.370583236,0.423492938,0,TAZ
123,21.646297455,21.646297455,1.78802681,1.239197016,6.143638611,5.973419189,1.833765507,3.513272762,0.648764849,0.506213129,0,TAZ
124,40.581790924,40.581790924,5.471374989,3.792018175,15.431936264,7.850681782,2.03117466,3.517267942,1.670875907,0.816458881,0,TAZ
125,23.396650314,23.396650314,0.782556176,0.542333961,3.722725868,6.792999744,3.353767872,7.123728752,0.417113692,0.6614241,0,TAZ
126,17.948379517,17.948379517,0.782556474,0.542333961,3.635909796,5.733416557,2.119154215,4.24915266,0.387323022,0.498532116,0,TAZ
127,23.60742569,23.60742569,1.480129242,1.025801301,5.431429863,6.473321438,2.636933088,5.293540478,0.607853711,0.658416033,0,TAZ
128,61.819049835,61.819049835,5.753014193E-5,6.559307622E-6,13.263310432,34.477096558,4.776609421,6.552033901,1.056724548,1.693210244,0,TAZ
129,79.579826355,79.579826355,3.375413179,2.339255095,15.970335007,25.684900284,9.412209511,19.019680023,1.671290517,2.10674119,0,TAZ
130,20.61734581,20.61734581,0.27501443,0.190573618,2.302258253,6.219763279,3.403846264,7.288908482,0.278900653,0.65808171,0,TAZ
131,91.875801086,91.875801086,6.12651968,4.245966911,22.895671844,26.813617706,9.109676361,17.928245544,2.432593346,2.323508501,0,TAZ
132,40.067955017,40.067955017,5.592147136E-5,6.444123756E-6,1.95146668,10.108181,8.128848076,18.211862564,0.336149156,1.331384897,0,TAZ
133,33.939052582,33.939052582,2.415846825,1.674303889,8.618484497,9.470589638,3.348216295,6.541134357,0.943194509,0.92728126,0,TAZ
134,38.969234467,38.969234467,3.287342072,2.27833271,12.499038696,13.042765617,2.26714325,3.54238534,1.240263462,0.81196183,0,TAZ
135,70.780860901,70.780860901,5.951734543,4.124925137,23.01374054,24.398790359,3.858644962,5.553509235,2.295658827,1.583853602,0,TAZ
136,68.030258179,68.030258179,4.149665356,2.875964642,13.423465729,15.403646469,9.093561172,19.590208054,1.583762646,1.9099859,0,TAZ
137,26.217151642,26.217151642,0.99293685,0.688126862,4.998242855,8.56887722,3.21327281,6.518217087,0.524901569,0.712576807,0,TAZ
138,48.230026245,48.230026245,2.998849869,2.065371037,12.437067032,18.783887863,4.269428253,5.020641804,1.356265783,1.298515558,0,TAZ
139,168.020828247,168.020828247,8.45287941E-5,1.006934508E-5,42.603271484,105.663726807,8.030853271,5.035802841,3.040595531,3.646490574,0,TAZ
140,25.498344421,25.498344421,5.066562153E-5,6.040513654E-6,1.702140927,7.324622154,4.806870461,10.670162201,0.222904891,0.771587133,0,TAZ
141,31.772958755,31.772958755,0.583772004,0.404546142,6.56059885,14.612354279,2.991477251,4.881449223,0.645198226,1.093562126,0,TAZ
142,45.972675323,45.972675323,0.164784193,0.113437295,3.060347557,13.255228996,10.573399544,16.469911575,0.475524127,1.860042214,0,TAZ
143,32.512176514,32.512176514,1.162964225,0.800923586,5.776572704,11.661679268,4.708105564,6.564065456,0.682384312,1.155481815,0,TAZ
144,19.127157211,19.127157211,1.049213052,0.727146864,4.300890446,5.844688892,2.084743261,4.185164452,0.451736569,0.4835729,0,TAZ
145,26.016950607,26.016950607,5.129088822E-5,6.063349247E-6,1.713373184,7.413410664,4.930482864,10.910422325,0.235025063,0.814179778,0,TAZ
146,106.89151001,106.89151001,0.0095164,8.875644999E-4,23.139659882,67.271568298,8.303547859,3.209968328,1.940062642,3.016300917,0,TAZ
147,57.172367096,57.172367096,3.022988081,2.051465511,14.358112335,26.584655762,4.844697475,3.139240026,1.586773038,1.584434509,0,TAZ
148,55.717422485,55.717422485,2.346076488,1.573419333,13.843091011,26.588382721,5.110068798,3.144789696,1.466936111,1.644657731,0,TAZ
149,120.789718628,120.789718628,2.735897541,1.857557297,25.945665359,60.957447052,13.388274193,9.975831985,2.544036388,3.385006428,0,TAZ
150,137.509078979,137.509078979,4.316195488,2.927891493,31.706289291,67.224250793,14.192646027,10.103541374,3.203297138,3.834964991,0,TAZ
151,50.863090515,50.863090515,1.265842319,0.85410285,10.851021767,25.972578049,5.465807438,3.800876141,1.139948845,1.512912035,0,TAZ
152,50.4205513,50.4205513,1.033132792,0.692636192,10.329945564,26.168172836,5.601877213,4.050285816,1.048765063,1.495734811,0,TAZ
153,55.063022614,55.063022614,0.231607765,0.150456309,8.640953064,28.292510986,8.126565933,7.107610703,0.851335227,1.661983609,0,TAZ
154,0.004613481,0.004613481,1.829068933E-4,2.134112583E-5,7.302883314E-4,2.155435504E-4,0.001747438,4.874898586E-4,1.78345028E-4,0.001050127,0,TAZ
155,0.046574596,0.046574596,1.829068933E-4,2.134112583E-5,0.010765324,0.027744805,0.004143981,5.35679399E-4,9.866550099E-4,0.002193902,0,TAZ
156,131.563766479,131.563766479,5.424619198,3.686988354,31.715953827,61.463188171,13.010155678,9.34700489,3.314992666,3.600859642,0,TAZ
157,128.470809937,128.470809937,3.941225529,2.677755594,28.905246735,62.189258575,13.894953728,10.329632759,2.945062399,3.587680578,0,TAZ
158,17.371780396,17.371780396,1.287125051E-4,1.502181021E-5,0.602532268,4.958464622,5.192199707,5.930395126,0.128395513,0.559649944,0,TAZ
159,160.834472656,160.834472656,5.923739433,4.020101547,36.673370361,82.010742188,14.404593468,9.424488068,3.870900154,4.506538868,0,TAZ
160,169.263183594,169.263183594,9.12911129,6.206309319,42.289287567,78.785179138,14.169667244,9.410844803,4.670863152,4.601920128,0,TAZ
161,18.929616928,18.929616928,0.005995499,7.029660046E-4,1.070581317,5.822233677,5.314531326,5.933086872,0.166028723,0.616457582,0,TAZ
162,18.668960571,18.668960571,0.239515156,0.162822857,1.165791512,5.160258293,5.218658924,5.93076992,0.201843083,0.589300871,0,TAZ
163,56.833240509,56.833240509,2.617723465,1.779957891,14.118822098,28.035264969,4.534898758,2.698333025,1.501772642,1.546467185,0,TAZ
164,45.62984848,45.62984848,2.062125206,1.402431488,10.834091187,22.2284832,3.994160414,2.68803215,1.170047402,1.250477552,0,TAZ
165,48.59046936,48.59046936,2.378050089,1.616261125,11.903983116,23.269514084,4.111190796,2.690251827,1.293044686,1.328174114,0,TAZ
166,712.63885498,712.63885498,0.049827084,0.005842735,164.152954102,459.971740723,46.444984436,8.894832611,13.396868706,19.721782684,0,TAZ
167,80.231491089,80.231491089,7.035653591,4.775274277,23.127025604,27.614126205,7.190084457,5.47329092,2.815767288,2.200267553,0,TAZ
168,80.521217346,80.521217346,1.304695606,0.887300134,18.37776947,47.173755646,6.137620449,2.731630087,1.688842416,2.219604015,0,TAZ
169,199.665496826,199.665496826,1.219379192E-4,1.422741752E-5,46.175518036,132.752578735,11.23261261,0.254800022,3.765936375,5.483906746,0,TAZ
170,71.905342102,71.905342102,1.068983912,0.726952195,16.751384735,46.034618378,3.723138571,0.103098147,1.521225214,1.97594142,0,TAZ
171,83.597389221,83.597389221,3.827245235,2.602858782,22.463100433,46.22467041,3.842140198,0.103679769,2.304814577,2.228879452,0,TAZ
172,56.599838257,56.599838257,1.777518392,1.207902789,12.678576469,30.033641815,4.934700489,3.096026897,1.298259974,1.573213935,0,TAZ
173,57.421466827,57.421466827,1.914652228,1.302119493,12.994298935,30.24177742,4.944396019,3.096063852,1.339993238,1.58816731,0,TAZ
174,65.22518158,65.22518158,2.750444889,1.869811893,15.08071804,31.733442307,6.083484173,4.273790359,1.626671433,1.806818128,0,TAZ
175,49.762691498,49.762691498,0.245003849,0.16426155,9.486125946,29.583057404,4.885761738,3.095490217,0.866874516,1.436116219,0,TAZ
176,49.004886627,49.004886627,0.241081819,0.163916439,9.212459564,29.25884819,4.796662331,3.094192266,0.839076877,1.398650169,0,TAZ
177,293.44833374,293.44833374,0.002637694,8.823130338E-5,61.262065887,177.965057373,26.604667664,14.223322868,5.152982235,8.237510681,0,TAZ
178,258.120178223,258.120178223,8.129364967,5.528086662,63.207996368,141.264694214,18.513439178,8.233247757,6.221623898,7.021728516,0,TAZ
179,162.485092163,162.485092163,5.445281982,3.703258514,35.429679871,85.829231262,14.366006851,9.459202766,3.724515676,4.527916908,0,TAZ
180,297.969726562,297.969726562,4.067027569,2.761572599,71.773223877,180.451126099,19.443580627,4.953259945,6.365301609,8.154624939,0,TAZ
181,96.093238831,96.093238831,3.692444324,2.509965897,20.488777161,47.307891846,9.737132072,7.399501801,2.251412868,2.706114531,0,TAZ
182,92.248054504,92.248054504,6.146162987,4.179978848,24.606416702,40.150241852,7.19298172,4.706475258,2.800047159,2.465748549,0,TAZ
183,84.50164032,84.50164032,4.528783321,3.07834959,21.088630676,39.383823395,7.089507103,4.705574036,2.326615095,2.300359488,0,TAZ
184,38.052581787,38.052581787,2.46813798,1.699869752,7.309874535,8.834492683,6.162949085,9.367179871,0.95389533,1.256183982,0,TAZ
185,41.758087158,41.758087158,4.357337952,3.001037836,11.620936394,8.780264854,4.645122051,6.723420143,1.457536936,1.17243278,0,TAZ
186,41.447227478,41.447227478,4.874181747,3.357009172,13.277824402,9.676734924,3.269982338,4.147592068,1.639528513,1.204373002,0,TAZ
187,30.880426407,30.880426407,2.468135834,1.699869514,7.207171917,7.486933708,4.122516632,6.070101738,0.901857555,0.92383945,0,TAZ
188,85.857673645,85.857673645,14.204246521,9.782996178,34.44865799,13.147883415,3.784521818,4.318614006,4.264765263,1.90598917,0,TAZ
189,39.011810303,39.011810303,3.873623848,2.66787672,10.793635368,9.120972633,4.194821835,5.955700874,1.3285501,1.076630831,0,TAZ
190,106.80381012,106.80381012,11.226613045,7.732173443,34.657749176,32.782859802,6.643938065,7.031820297,4.019831657,2.708827019,0,TAZ
191,153.542633057,153.542633057,7.397617446E-5,8.72662622E-6,30.737266541,91.089538574,13.03037262,11.899936676,2.564846754,4.220592976,0,TAZ
192,44.158882141,44.158882141,5.588274956,3.848825216,14.734122276,9.399587631,3.325153112,4.356390476,1.802118301,1.10441184,0,TAZ
193,43.145591736,43.145591736,0.268445343,0.182529703,8.385437965,23.560871124,5.031652927,3.736520529,0.756748021,1.223384261,0,TAZ
194,592.911132812,592.911132812,26.600208282,18.090719223,157.362640381,294.101379395,43.409072876,21.438468933,16.077386856,15.831259727,0,TAZ
